Doc:international-jew, AVG:1.0, List:[1]
Doc:mein-kampf, AVG:2.0, List:[2]
Doc:Hitler01301942, AVG:3.0, List:[3]
Doc:Hitler01301941, AVG:4.0, List:[4]
Doc:coming-to-power-anniversary, AVG:5.0, List:[5]
Doc:war-declaration-usa, AVG:6.0, List:[6]
Doc:war-declaration-russia, AVG:7.0, List:[7]
Doc:transcript-bernie-sanderss-speech-on-democratic-socialism, AVG:8.0, List:[8]
Doc:Hitler01301940, AVG:9.0, List:[9]
Doc:transcript-rick-santorums-speech-on-immigration-at-the-national-press-club, AVG:10.0, List:[10]
Doc:transcript-marco-rubios-remarks-at-the-faith-freedom-coalition-conference, AVG:11.0, List:[11]
Doc:transcript-ted-cruzs-remarks-at-the-faith-freedom-coalition-conference, AVG:12.0, List:[12]
Doc:transcript-hillary-clintons-remarks-in-keene-new-hampshire, AVG:13.0, List:[13]
Doc:transcript-hillary-clintons-economic-policy-speech-at-the-new-school, AVG:14.0, List:[14]
Doc:transcript-carly-fiorinas-remarks-in-new-hampshire, AVG:15.0, List:[15]
Doc:transcript-hillary-clintons-campaign-announcement-speech, AVG:16.0, List:[16]
Doc:transcript-hillary-clintons-remarks-on-the-iran-nuclear-agreement, AVG:17.0, List:[17]
Doc:transcript-bernie-sanderss-speech-in-columbia-south-carolina, AVG:18.0, List:[18]
Doc:transcript-hillary-clintons-remarks-at-the-new-hampshire-democratic-convention, AVG:19.0, List:[19]
Doc:transcript-marco-rubios-remarks-at-the-iowa-state-fair, AVG:20.0, List:[20]
Doc:transcript-bernie-sanderss-remarks-at-liberty-university, AVG:21.0, List:[21]
Doc:transcript-donald-trumps-speech-in-nashville-tennessee, AVG:22.0, List:[22]
Doc:transcript-carly-fiorinas-remarks-at-the-iowa-state-fair, AVG:23.0, List:[23]
Doc:transcript-bernie-sanderss-remarks-at-the-new-hampshire-democratic-convention, AVG:24.0, List:[24]
Doc:transcript-jeb-bushs-remarks-in-tallahassee, AVG:25.0, List:[25]
Doc:transcript-hillary-clintons-speech-on-isis-national-security, AVG:26.0, List:[26]
Doc:transcript-hillary-clintons-remarks-at-the-jefferson-jackson-dinner, AVG:27.0, List:[27]
Doc:transcript-martin-omalleys-remarks-at-the-iowa-jefferson-jackson-dinner, AVG:28.0, List:[28]
Doc:transcript-bernie-sanderss-remarks-at-the-jefferson-jackson-dinner, AVG:29.0, List:[29]
Doc:transcript-hillary-clintons-remarks-on-criminal-justice-reforms-at-columbia-university, AVG:30.0, List:[30]
Doc:transcript-donald-trumps-remarks-in-south-carolina, AVG:31.0, List:[31]
Doc:transcript-donald-trumps-presidential-campaign-announcement-speech, AVG:32.0, List:[32]
Doc:transcript-hillary-clintons-remarks-at-the-dnc-meeting-in-minnesota, AVG:33.0, List:[33]
Doc:transcript-donald-trumps-speech-in-mobile-alabama, AVG:34.0, List:[34]
Doc:transcript-martin-omalleys-remarks-at-the-iowa-democratic-hall-of-fame-dinner, AVG:35.0, List:[35]
Doc:transcript-donald-trumps-speech-in-phoenix-arizona-on-july-11-2015, AVG:36.0, List:[36]
Doc:transcript-hillary-clintons-remarks-on-gun-violence, AVG:37.0, List:[37]
Doc:enabling-act, AVG:38.0, List:[38]
Doc:transcript-hillary-clintons-remarks-on-the-economy-at-new-york-university, AVG:39.0, List:[39]
Doc:transcript-donald-trumps-remarks-in-sioux-city-iowa, AVG:40.0, List:[40]
Doc:transcript-jeb-bushs-remarks-in-tampa-florida, AVG:41.0, List:[41]
Doc:transcript-donald-trumps-remarks-in-nyc, AVG:42.0, List:[42]
Doc:transcript-bernie-sanderss-remarks-at-the-iowa-democratic-hall-of-fame-dinner, AVG:43.0, List:[43]
Doc:transcript-bernie-sanderss-remarks-at-the-dnc-meeting-in-minnesota, AVG:44.0, List:[44]
Doc:transcript-john-kasichs-remarks-on-military-actions-against-isis-at-the-cnn-republican-presidential-debate, AVG:45.0, List:[45]
Doc:transcript-hillary-clintons-remarks-at-a-town-hall-meeting-in-orangeburg-south-carolina, AVG:46.0, List:[46]
Doc:transcript-john-kasichs-presidential-campaign-announcement, AVG:47.0, List:[47]
Doc:transcript-carly-fiorinas-remarks-at-the-faith-freedom-coalition-conference, AVG:48.0, List:[48]
Doc:transcript-george-patakis-remarks-in-the-first-republican-presidential-debate, AVG:49.0, List:[49]
Doc:transcript-hillary-clintons-remarks-at-the-iowa-jefferson-jackson-dinner, AVG:50.0, List:[50]
Doc:transcript-bernie-sanderss-remarks-at-the-dnc-womens-leadership-forum, AVG:51.0, List:[51]
Doc:transcript-rand-pauls-remarks-at-the-faith-freedom-coalition-conference, AVG:52.0, List:[52]
Doc:transcript-donald-trumps-remarks-in-mount-pleasant-south-carolina, AVG:53.0, List:[53]
Doc:transcript-bernie-sanderss-remarks-at-the-iowa-jefferson-jackson-dinner, AVG:54.0, List:[54]
Doc:transcript-jeb-bushs-speech-on-foreign-policy-at-the-reagan-library, AVG:55.0, List:[55]
Doc:transcript-rick-santorums-remarks-at-the-faith-freedom-coalition-conference, AVG:56.0, List:[56]
Doc:transcript-jeb-bushs-remarks-at-the-faith-freedom-coalition-conference, AVG:57.0, List:[57]
Doc:transcript-hillary-clintons-remarks-at-the-dnc-womens-leadership-forum, AVG:58.0, List:[58]
Doc:transcript-martin-omalleys-remarks-at-the-dnc-meeting-in-minnesota, AVG:59.0, List:[59]
Doc:transcript-donald-trumps-remarks-at-the-2015-family-leadership-summit-in-iowa, AVG:60.0, List:[60]
Doc:transcript-hillary-clintons-remarks-on-the-charleston-church-shooting, AVG:61.0, List:[61]
Doc:transcript-bernie-sanderss-remarks-at-the-iowa-state-fair, AVG:62.0, List:[62]
Doc:transcript-jeb-bushs-remarks-on-health-care, AVG:63.0, List:[63]
Doc:transcript-carly-fiorinas-remarks-in-the-first-republican-presidential-debate, AVG:64.0, List:[64]
Doc:transcript-donald-trumps-press-conference-on-his-new-book-crippled-america, AVG:65.0, List:[65]
Doc:transcript-donald-trumps-remarks-at-the-uss-iowa, AVG:66.0, List:[66]
Doc:transcript-hillary-clintons-remarks-at-the-iowa-democratic-hall-of-fame-dinner, AVG:67.0, List:[67]
Doc:transcript-hillary-clintons-speech-on-agriculture-rural-policy, AVG:68.0, List:[68]
Doc:transcript-rick-santorums-remarks-in-the-first-republican-presidential-debate, AVG:69.0, List:[69]
Doc:transcript-george-patakis-closing-statement-in-the-first-republican-presidential-debate, AVG:70.0, List:[70]
Doc:transcript-hillary-clintons-remarks-on-her-emails-at-the-cnn-democratic-presidential-debate, AVG:71.0, List:[71]
Doc:transcript-hillary-clintons-remarks-on-voting-rights, AVG:72.0, List:[72]
Doc:transcript-bernie-sanderss-remarks-on-prescription-drugs, AVG:73.0, List:[73]
Doc:transcript-hillary-clintons-press-briefing-remarks-after-her-speech-on-college-affordability-in-exeter-new-hampshire, AVG:74.0, List:[74]
Doc:transcript-hillary-clintons-remarks-on-the-use-of-her-personal-email-account-as-secretary-of-state, AVG:75.0, List:[75]
Doc:transcript-chris-christies-remarks-at-the-faith-freedom-coalition-conference, AVG:76.0, List:[76]
Doc:transcript-lindsey-grahams-remarks-in-the-first-republican-presidential-debate, AVG:77.0, List:[77]
Doc:transcript-bernie-sanderss-remarks-on-the-high-cost-of-prescription-drugs, AVG:78.0, List:[78]
Doc:transcript-hillary-clintons-testimony-at-the-benghazi-select-committee, AVG:79.0, List:[79]
Doc:transcript-bernie-sanderss-remarks-on-the-iran-nuclear-agreement, AVG:80.0, List:[80]
Doc:transcript-donald-trumps-remarks-defending-his-foreign-policy-knowledge-at-the-cnn-republican-presidential-debate, AVG:81.0, List:[81]
Doc:transcript-jim-gilmores-remarks-in-the-first-republican-presidential-debate, AVG:82.0, List:[82]
Doc:transcript-hillary-clintons-remarks-on-political-expediency-at-the-cnn-democratic-presidential-debate, AVG:83.0, List:[83]
Doc:transcript-donald-trumps-remarks-on-the-iran-nuclear-agreement-at-the-tea-party-rally-in-d-c, AVG:84.0, List:[84]
Doc:transcript-jeb-bushs-remarks-at-the-iowa-state-fair, AVG:85.0, List:[85]
Doc:transcript-ben-carsons-remarks-on-opposing-bushs-decision-troops-to-afghanistan-at-the-cnn-republican-presidential-debate, AVG:86.0, List:[86]
Doc:transcript-donald-trumps-press-briefing-remarks-in-laredo-texas-july-23-2015, AVG:87.0, List:[87]
Doc:transcript-carly-fiorinas-remarks-defending-her-track-record-as-hps-ceo-at-the-cnn-republican-presidential-debate, AVG:88.0, List:[88]
Doc:transcript-chris-christies-remarks-on-invading-afghanistan-after-911-at-the-cnn-republican-presidential-debate, AVG:89.0, List:[89]
Doc:transcript-bernie-sanderss-remarks-whether-a-socialist-can-win-in-the-general-election-at-the-cnn-democratic-presidential-debate, AVG:90.0, List:[90]
Doc:transcript-jeb-bushs-remarks-on-retaining-the-same-advisers-as-his-brother-and-father-at-the-cnn-republican-presidential-debate, AVG:91.0, List:[91]
Doc:transcript-hillary-clintons-speech-on-college-affordability, AVG:92.0, List:[92]
Doc:transcript-rand-pauls-remarks-on-legalizing-marijuana-at-the-cnn-republican-presidential-debate, AVG:93.0, List:[93]
Doc:transcript-hillary-clintons-opening-remarks-at-the-cnn-democratic-presidential-debate, AVG:94.0, List:[94]
Doc:transcript-donald-trumps-remarks-on-his-temperament-at-the-cnn-republican-presidential-debate, AVG:95.0, List:[95]
Doc:transcript-donald-trumps-remarks-on-illegal-immigration-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:96.0, List:[96]
Doc:transcript-hillary-clintons-remarks-on-the-use-of-her-personal-email-account-while-serving-as-secretary-of-state, AVG:97.0, List:[97]
Doc:transcript-donald-trumps-remarks-on-his-multiple-bankruptcies-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:98.0, List:[98]
Doc:transcript-marco-rubios-remarks-criticizing-trumps-knowledge-on-foreign-policy-at-the-cnn-republican-presidential-debate, AVG:99.0, List:[99]
Doc:transcript-martin-omalleys-closing-remarks-at-the-cnn-democratic-presidential-debate, AVG:100.0, List:[100]
Doc:transcript-ted-cruzs-remarks-on-the-iran-nuclear-agreement-at-the-cnn-republican-presidential-debate, AVG:101.0, List:[101]
Doc:transcript-chris-christies-remarks-on-nsas-bulk-data-collection-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:102.0, List:[102]
Doc:transcript-hillary-clintons-remarks-on-paid-family-leave-at-the-cnn-democratic-presidential-debate, AVG:103.0, List:[103]
Doc:transcript-marco-rubios-remarks-defending-his-senate-record-at-the-cnn-republican-presidential-debate, AVG:104.0, List:[104]
Doc:transcript-john-kasichs-remarks-on-defunding-planned-parenthood-at-the-cnn-republican-presidential-debate, AVG:105.0, List:[105]
Doc:transcript-carly-fiorinas-remarks-on-iran-planned-parenthood-at-the-cnn-republican-presidential-debate, AVG:106.0, List:[106]
Doc:transcript-jeb-bushs-remarks-on-donald-trump-at-the-fox-news-republican-presidential-debate-on-aug-6-2015, AVG:107.0, List:[107]
Doc:transcript-jim-gilmores-opening-statement-in-the-first-republican-presidential-debate, AVG:108.0, List:[108]
Doc:transcript-hillary-clintons-remarks-on-providing-in-state-college-tuition-to-undocumented-immigrants-at-the-cnn-democratic-presidential-debate, AVG:109.0, List:[109]
